연번,업종명,업소명,소재지(도로명),소재지(지번),소재지전화,등록기준일
1175,일반음식점,한식이랑 중식,"세종특별자치시 조치원읍 새내10길 19, 1·2층 (8호)","세종특별자치시 조치원읍 원리 6-19 (8호, 1·2층) ",,2025-06-09
1176,일반음식점,백월순대국,"세종특별자치시 연기면 당산로 197, 1층",세종특별자치시 연기면 연기리 502-5 ,044 -866 -5668,2025-06-09
1177,일반음식점,우가정,세종특별자치시 부강면 문곡구절골길 6,세종특별자치시 부강면 755 ,044 -863 -0099,2025-06-09
1178,일반음식점,엉클생고기 아름점,"세종특별자치시 보듬3로 100, 1동 2층 209,210호 (아름동, 해피라움 1)",세종특별자치시 아름동 1295 ,044 -862 -0267,2025-06-09
1179,일반음식점,노크,"세종특별자치시 조치원읍 토골고개길 13, 2층 (주1동)",세종특별자치시 조치원읍 신안리 141-9 주1동 2층 ,044 -868 -0342,2025-06-09
1180,일반음식점,만화카페 비지트,"세종특별자치시 도움1로 108, 5층 514,515호 (종촌동, 몰리브(Mallive))",세종특별자치시 종촌동 673 ,044 -867 -8775,2025-06-09
1181,일반음식점,도도한 암퇘지,"세종특별자치시 조치원읍 토골고개길 13-1, 1층",세종특별자치시 조치원읍 신안리 141-13 1층 ,044 -862 -0392,2025-06-09
1182,일반음식점,청년피자 조치원점,"세종특별자치시 조치원읍 행복10길 9, 2층 (주건축물제1동)","세종특별자치시 조치원읍 침산리 267-8 주건축물제1동, 2층 ",044 -866 -3953,2025-06-09
1183,일반음식점,지코바치킨 한솔1호점,"세종특별자치시 한누리대로 194, 1층 122호 (나성동, 더리치세종의아침)",세종특별자치시 나성동 504 ,,2025-06-09
1184,일반음식점,더푸드,"세종특별자치시 금남면 박산1길 12, 1층",세종특별자치시 금남면 박산리 217 ,,2025-06-09
1185,일반음식점,옛날통닭 부강점,세종특별자치시 부강면 부촌길 27,"세종특별자치시 부강면 부강리 436-2 외1필지, 1층 ",,2025-06-09
1186,일반음식점,보비스쿰 청사점,"세종특별자치시 갈매로 408, 14동 1층 (어진동, 정부세종청사)",세종특별자치시 어진동 634 ,,2025-06-09
1187,일반음식점,맘스터치 세종보람점,"세종특별자치시 남세종로 462, 103, 104호 (보람동, 위너스타워)",세종특별자치시 보람동 700-76 ,044 -866 -1299,2025-06-09
1188,일반음식점,새마을식당,세종특별자치시 조치원읍 새내8길 51 (우측),세종특별자치시 조치원읍 정리 17 (우측) ,044 -863 -3354,2025-06-09
1189,일반음식점,용손짜장,"세종특별자치시 장군면 당암길 42, 2층 201호 (2동)",세종특별자치시 장군면 봉안리 38 ,044 -866 -6671,2025-06-09
1190,일반음식점,수미순두부&왕코다리&화덕생선구이,"세종특별자치시 마음로 272-22, 2층 202~204호 (고운동, 고운드림)",세종특별자치시 고운동 1379 ,044 -863 -3320,2025-06-09
1191,일반음식점,친구네,"세종특별자치시 조치원읍 조치원6길 13-3, 1~2층 16호",세종특별자치시 조치원읍 원리 4-28 ,,2025-06-09
1192,일반음식점,전집,"세종특별자치시 조치원읍 섭골길 26 (제1동, 우측)","세종특별자치시 조치원읍 신안리 390-3 (제1동, 우측) ",044 -866 -9933,2025-06-09
1193,일반음식점,스시 타이킨,"세종특별자치시 국책연구원2로 18, 알파타워 1층 112호 (반곡동)",세종특별자치시 반곡동 308 알파타워 ,,2025-06-09
1194,일반음식점,으뜸뷔페,세종특별자치시 전의면 산단길 22-4 (주1동),세종특별자치시 전의면 관정리 718 (주1동) ,044 -867 -8764,2025-06-09
1195,일반음식점,수포자 대왕해물손칼국수 세종조치원점,"세종특별자치시 연서면 도신고복로 913, 1층 (주1동)","세종특별자치시 연서면 고복리 442-2 (주1동, 1층) ",044 -862 -9588,2025-06-09
1196,일반음식점,처갓집 양념치킨 종촌점,"세종특별자치시 도움1로 106, 1층 116호 (종촌동, 메가시티)",세종특별자치시 종촌동 672 ,044 -866 -2332,2025-06-09
1197,일반음식점,세종닭발,"세종특별자치시 노을1로 16, 상가동 1층 149호 (한솔동, 첫마을2단지)",세종특별자치시 한솔동 946 첫마을2단지 ,,2025-06-09
1198,일반음식점,오롯이,"세종특별자치시 한누리대로 499, 청암빌딩 2층 202,203-1,203(일부)호 (어진동)",세종특별자치시 어진동 530 청암빌딩 ,044 -864 -0038,2025-06-09
1199,일반음식점,"공주칼국수 쭈꾸미구이, 일품감자탕","세종특별자치시 보듬7로 76, 주건축물제1동 지1층 (아름동, 아름동 1-2생활권 근생5-2 근린생활시설)",세종특별자치시 아름동 1088 ,044 -863 -6669,2025-06-09
1200,일반음식점,교촌치킨 고운점,"세종특별자치시 마음로 78, 1층 104호 (고운동, 세종 스마트큐브2)",세종특별자치시 고운동 1718 ,044 -867 -4991,2025-06-09
1201,일반음식점,세종장어대가,"세종특별자치시 나성남로 7-16, 1층 106,107,108,109,110호 (나성동, 신영드림타워)",세종특별자치시 나성동 502 ,044 -864 -0592,2025-06-09
1202,일반음식점,골프존파크나성 싱글스크린,"세종특별자치시 나성북로 9, 506,507,508호 (나성동, 세종메가타워1)",세종특별자치시 나성동 361-190 ,044 -867 -8223,2025-06-09
1203,일반음식점,피엠푸드 피자마루 세종보람점,"세종특별자치시 남세종로 358, 223동 1층 107호 (소담동)",세종특별자치시 소담동 32-7 ,,2025-06-09
1204,일반음식점,아퀴진,"세종특별자치시 한누리대로 287, 2층 209호 (나성동, 세종포레뷰원)",세종특별자치시 나성동 380-49 ,044 -866 -4421,2025-06-09
1205,일반음식점,육회바른연어 세종청사점,"세종특별자치시 갈매로 364, 1층 105호 (어진동, 푸르지오시티)",세종특별자치시 어진동 656 ,044 -865 -7748,2025-06-09
1206,일반음식점,빠스타스 종촌점,"세종특별자치시 달빛로 43, 금강빌딩 4층 404,405호 (종촌동)",세종특별자치시 종촌동 668 금강빌딩 ,044 -864 -1992,2025-06-09
